# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 16:27:15 NZST 2011 [seed=1303338739767]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Human-Chimp)	tmrca(ingroup)	tmrca(HomiCerco)	yule.birthRate	firsthalf.kappa	firsthalf.frequencies1	firsthalf.frequencies2	firsthalf.frequencies3	firsthalf.frequencies4	firsthalf.alpha	secondhalf.kappa	secondhalf.frequencies1	secondhalf.frequencies2	secondhalf.frequencies3	secondhalf.frequencies4	secondhalf.alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	firsthalf.treeLikelihood	secondhalf.treeLikelihood	speciation
2600	-6099.797867500994	-50.946361722011055	-6048.851505778983	38.343192959471246	6.114564599366584	37.97026080302611	18.464781916469022	0.09343439852296634	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.6473792503813072	0.007741467624860954	0.4024120836090405	0.007742538820055993	0.334926112380226	0.07250661963553917	-3098.1321331168265	-2950.7193726621563	-46.42658517323346
2800	-6101.239052931134	-46.64011433734736	-6054.598938593786	33.148547284353235	6.012675001095897	33.100334632682134	15.472787749548722	0.06470381283316975	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.6473792503813072	0.008643991601908152	0.42257005980250306	0.008556139140436497	0.3615092616141375	0.03720247068621913	-3097.649924326427	-2956.949014267359	-42.08579264353987
3000	-6095.6641354284175	-46.128902172846054	-6049.535233255571	28.391396401003874	5.66064635443071	27.740562500722312	13.404478043165579	0.047763763106552226	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.6473792503813072	0.01191180670699908	0.46944859687899504	0.011278131050027767	0.4581856496781344	-9.717347573140995E-4	-3094.70725062983	-2954.8279826257412	-41.203944385592315
3200	-6100.246301726064	-46.43924997273493	-6053.80705175333	28.391396401003874	5.441085840647982	28.143434460342686	14.077884824841652	0.059237268689459784	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6473792503813072	0.009913633689823512	0.5137879781539972	0.00937788659935178	0.4632551641766905	0.007230882816056191	-3098.633442548198	-2955.1736092051315	-40.986825760130166
3400	-6085.24836176488	-46.55554061844609	-6038.692821146435	29.15561945875734	5.284621364155218	29.0530708005731	15.564388362717374	0.07123869122945477	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6473792503813072	0.009686447839544716	0.2916029891942083	0.009776879165776667	0.2734133324210368	0.36601015789271957	-3084.9093383015475	-2953.7834828448867	-41.30770863415401
3600	-6087.696799072696	-47.66870627586976	-6040.028092796826	28.780047798180757	4.941406832743615	28.46825490854844	16.135495209802823	0.06075835900497157	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6473792503813072	0.011211915450167233	0.3481898026153688	0.010591949323522067	0.3210250666752546	-0.1467720808351632	-3082.6124492175763	-2957.4156435792497	-41.03340804903667
3800	-6084.9173721380275	-46.71741860456095	-6038.199953533466	31.380973629135386	6.228260212841908	31.359179255111886	18.89641667063787	0.06075835900497157	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.7295369236292332	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6473792503813072	0.009685015907286319	0.28804608811132304	0.009161963949492029	0.20231488470369055	-0.03502609984568716	-3079.6133212229233	-2958.586632310543	-42.399585059230546
4000	-6090.535734868281	-47.93529382482342	-6042.600441043458	29.930140432512317	5.324433475447254	29.693398000255296	17.773721833462545	0.09840855256556029	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.5769736174356146	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6473792503813072	0.009435459865413708	0.2183442362351351	0.009013800803298012	0.16490538014651332	0.018989776200372052	-3084.2853384526866	-2958.315102590771	-43.01799102646229
4200	-6084.326681085634	-47.4725356166082	-6036.854145469026	29.490384627110853	5.368548328730283	29.433437478078737	17.068253169938263	0.10106957455576043	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.5769736174356146	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6993477551821807	0.010850240212912855	0.20676125183695926	0.01018993615146922	0.15133571779069013	-0.2656795839164974	-3078.5168979652117	-2958.337247503814	-42.70529960333551
4400	-6087.328093497296	-48.685220298688606	-6038.642873198608	28.886937309223832	4.7704406226589775	28.83115544185146	17.96035466517634	0.06250631415286041	2.158625608229169	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.5769736174356146	3.1422717584167423	0.25894701551427907	0.24072493339688475	0.24940885638942512	0.25091919469941104	0.6993477551821807	0.010406032073195392	0.3091671208552532	0.009727175426091658	0.2322839412595252	-0.23531833235591906	-3085.9019358739342	-2952.7409373246737	-41.38459657984519
