# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 17:38:40 NZST 2011 [seed=1303362947982]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	skyline
14000	-4494.722093803814	-115.72902638391825	-4378.993067419895	30.80245559239759	484.50280709122245	25.764149136074124	15.121514414213957	57.62527082294149	14.367485864377546	1.0	4.0	5.0	8.0	2.0	6.229672575751098	0.6147059676309778	0.5366154613947217	1.8486785709742999	8.492944314706032E-4	-1230.228520794647	-1192.5752791554532	-1956.189267469795	-85.45198460549103
15000	-4498.784209367214	-117.63557812703922	-4381.148631240175	32.24569209033859	328.0869106960761	49.81576985495261	27.44045543089428	29.17067584274843	4.37100948556778	1.0	5.0	6.0	7.0	1.0	6.229672575751098	0.5119755324782063	0.6520042022347601	1.836020265287033	8.472467440909631E-4	-1231.5960318036894	-1196.3652194464978	-1953.1873799899874	-90.34844022731062
16000	-4486.830634854082	-108.49113097350732	-4378.339503880575	29.661164108794466	177.59128414622424	73.09495159729124	21.66882469392261	13.965031121980996	5.333578825772102	1.0	3.0	3.0	11.0	2.0	8.066995971932903	0.5910903935593674	0.6607196981524591	1.7481899082881727	9.2334866806578E-4	-1237.88611813504	-1198.6774096919291	-1941.7759760536057	-82.78502410939292
17000	-4476.71863923097	-106.90137787531637	-4369.817261355654	24.83700717219977	1253.0245921872654	23.563813588661546	14.426702314028725	11.317089100430724	3.8288134041633213	1.0	6.0	5.0	7.0	1.0	8.066995971932903	0.5989939159519105	0.6607196981524591	1.7402863858956295	0.0010023524905201453	-1236.783293270026	-1195.908869265136	-1937.125098820493	-79.01730983946516
18000	-4479.547195878921	-103.59218480519347	-4375.955011073728	29.36591970784344	518.0812577944818	30.5351003644574	10.381629100571015	11.46741110099087	12.134201177260538	1.0	2.0	10.0	2.0	5.0	8.066995971932903	0.6502489802457996	0.5938977066271497	1.7558533131270497	0.0010725090715850685	-1234.0704951020352	-1196.6742036180956	-1945.210312353597	-76.72332556118663
19000	-4475.197385444438	-104.43843068928749	-4370.758954755151	22.137201651229514	334.7100845511711	37.617375403448214	13.711251274373714	7.573206242962203	7.937916216489539	1.0	3.0	8.0	3.0	5.0	7.912901872226211	0.7531200359941821	0.42804991096650197	1.818830053039315	0.001136684278108049	-1234.8069326417826	-1195.5479573281407	-1940.4040647852269	-78.88831386881816
20000	-4472.9593617611445	-103.06014553800759	-4369.899216223137	23.31103449259679	207.9296451331462	61.22190191682431	20.349799614376913	3.3517588676621033	12.950137767417248	1.0	2.0	9.0	3.0	5.0	7.912901872226211	0.6220119159089139	0.5693635522369136	1.8086245318541712	0.0012250617205013237	-1237.4258845232819	-1193.999940020084	-1938.4733916797713	-75.81754902101326
21000	-4471.719231409018	-97.78146395181275	-4373.937767457205	23.966875188527585	116.24120062501059	16.30461735206921	12.799732742525217	4.442250694897627	8.589759919883216	1.0	1.0	11.0	2.0	5.0	7.912901872226211	0.6614891918546411	0.6440481451002497	1.694462663045108	0.0012968135800363234	-1237.8696641439228	-1196.1999298229753	-1939.8681734903073	-74.65616980241558
22000	-4469.694638109211	-96.25455110702902	-4373.440087002182	17.92856615337783	67.18518843805322	17.21925269826689	12.760497485878492	9.03043199904205	5.914618552592457	4.0	3.0	7.0	1.0	5.0	7.912901872226211	0.5654403844286898	0.6641703823302268	1.770389233241082	0.0015011855810213395	-1238.7872235514292	-1192.875463340467	-1941.7774001102857	-74.31074148038203
23000	-4467.300370210666	-95.07411956449951	-4372.226250646167	18.388028743587125	107.25985544460084	20.32951766656491	11.385200312602771	6.3466231138237275	5.992320846119662	3.0	1.0	8.0	4.0	4.0	7.912901872226211	0.6688092535476236	0.5231833105169243	1.8080074359354508	0.0017361749179504024	-1235.5066932596962	-1195.320356215765	-1941.3992011707046	-72.60419726371642
