# BEAST v1.6.2, Build r4178
# Generated Fri Feb 10 10:47:11 NZDT 2012 [seed=1303338739767]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Human-Chimp)	tmrca(ingroup)	tmrca(HomiCerco)	yule.birthRate	firsthalf.kappa	firsthalf.frequencies1	firsthalf.frequencies2	firsthalf.frequencies3	firsthalf.frequencies4	firsthalf.alpha	secondhalf.kappa	secondhalf.frequencies1	secondhalf.frequencies2	secondhalf.frequencies3	secondhalf.frequencies4	secondhalf.alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	firsthalf.treeLikelihood	secondhalf.treeLikelihood	speciation
7000	-6086.612144506526	-49.44399538568429	-6037.168149120842	32.585467795521815	6.596741851518467	31.98038398593878	23.693822152583365	0.05571738641858846	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	3.6232113513355366	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.012224710909395928	0.7851750432664678	0.009188936919168894	0.6163034271458516	-0.11863501616679685	-3089.2151602093627	-2947.9529889114797	-42.514581167843474
7200	-6103.63821687675	-53.10382259608742	-6050.534394280663	32.52232270330774	7.033137810464985	31.120467593411632	24.87656595257665	0.07858139491137611	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	3.6232113513355366	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011837481608249807	0.8488046732779181	0.008462221644930086	0.7986213824091961	-0.020315372643967766	-3089.276849493788	-2961.2575447868744	-43.21172770215901
7400	-6091.875869721169	-50.582067612985824	-6041.293802108183	33.57040165008828	6.395331059317292	31.403034861453737	23.404465033404346	0.07277286287426814	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	4.053236658186666	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011837481608249807	0.8488046732779181	0.008451703144828399	0.8211907457681347	0.011473047525485792	-3095.2389845468006	-2946.0548175613826	-43.202752131763745
7600	-6094.7810177498795	-50.88357224024105	-6043.897445509639	35.00479439809538	6.096909351495567	33.50949146416065	23.089877439631245	0.06375811731410695	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	4.053236658186666	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011161951191490164	0.7857311005553245	0.008206040021803971	0.6488543419288263	0.10603285052259914	-3095.2721227940247	-2948.625322715614	-43.039945568385846
7800	-6086.398692023663	-51.08288899892322	-6035.31580302474	36.455087505541734	6.777539017415237	33.60488607013237	23.615689653491454	0.07118579086138553	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	4.053236658186666	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.010847346865155514	0.7542792167167359	0.007900853187079697	0.5471120754077541	-0.44979932191068733	-3089.407057425731	-2945.908745599008	-43.50452424110958
8000	-6082.34082994756	-50.541140218232144	-6031.799689729329	36.75785467272201	6.109685499524006	35.06465772753174	23.259080634006793	0.058341355247015045	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	5.519016813135805	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011351535231934225	0.6945603311311502	0.009357832672459515	0.4608996066143282	-0.3792451878170485	-3093.5916642852776	-2938.2080254440516	-43.10636713262841
8200	-6055.944992053011	-49.34221198327441	-6006.6027800697375	34.048897966889264	6.075027413681629	32.11348354053078	24.36151189917429	0.05260299479378618	2.5732220624599904	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	5.519016813135805	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.012382071450650692	0.7289979930640582	0.008966684170099219	0.542411950801763	-0.4435389956586684	-3062.7817770391207	-2943.821003030617	-42.43062750909265
8400	-6052.586189869228	-50.4093790994028	-6002.176810769825	36.024976565888494	5.448659563112174	32.11348354053078	23.576120284363533	0.06330408908807729	2.5732220624599904	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	5.519016813135805	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.01286554972341799	0.7956347834460852	0.00916717424911691	0.7911871605762035	-0.2064399377758869	-3062.9181528931754	-2939.25865787665	-42.60322360482025
8600	-6055.577471558306	-51.36169836752131	-6004.215773190785	36.18854336438977	5.33386792508794	35.591156812051416	23.374993707391134	0.07146109648090554	2.5732220624599904	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	6.23110641587011	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.012344871703022465	0.709247409497406	0.00972769489835125	0.6872422586624113	-0.2822509210299439	-3064.080413516561	-2940.1353596742238	-42.932205674218416
8800	-6056.324084751127	-53.60517655886997	-6002.718908192257	38.72964234813367	5.773874316573136	35.392811021144624	25.30326541877003	0.05322269312411959	2.5732220624599904	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	6.23110641587011	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011045772443422294	0.6921321805025535	0.008348683007904098	0.6939050556393319	-0.17545022942435845	-3059.865100824614	-2942.8538073676436	-43.396492013672095
